data,Ano,Mes,COR(ppm Pt Co),TURB.(FTU),pH,O.C.(ppm O2),O.D.(ppm O2),Cl-(ppm Cl-),DUR.(ppm CaCO3),Fe(ppm Fe),Mn(mg/l),Cond.(uS/cm),flag_IQR,flag_MAD,flag_IForest,flag_LOF,flag_KNN,flag_Ensemble,n_metodos,n_violacoes_conama,n_violacoes_sem_indicativos
2018-04-01,2018,Abr,84.0,32.0,7.3,7.4,2.6,45.0,37.0,1.08,0.19,316.0,False,False,False,False,False,False,0,5,4
2018-05-01,2018,Mai,41.0,8.0,7.2,6.3,2.3,44.0,13.0,0.8,0.16,371.0,False,False,False,False,False,False,0,4,3
2018-06-01,2018,Jun,44.0,8.0,7.2,5.2,2.2,42.0,21.0,0.81,0.06,443.0,False,False,False,False,False,False,0,3,2
2018-09-01,2018,Set,60.0,24.0,7.3,9.1,2.0,52.0,39.0,1.22,0.12,463.0,False,False,False,False,False,False,0,3,2
2018-11-01,2018,Nov,128.0,49.0,7.1,7.1,2.6,57.0,44.0,1.75,0.16,296.0,False,False,False,False,False,False,0,4,3
2018-12-01,2018,Dez,79.0,47.0,7.0,6.2,2.8,43.0,48.0,1.64,0.12,242.0,False,False,False,False,False,False,0,4,3
2019-01-01,2019,Jan,120.0,42.0,7.1,6.2,3.2,39.0,46.0,2.77,0.15,238.0,False,False,False,False,False,False,0,6,5
2019-02-01,2019,Fev,196.0,53.0,7.0,8.2,3.0,59.0,58.0,2.29,0.16,275.0,False,False,False,False,False,False,0,4,3
2019-03-01,2019,Mar,186.0,123.0,7.0,7.5,4.2,39.0,48.0,3.01,0.25,202.0,False,False,False,False,False,False,0,5,4
2019-04-01,2019,Abr,112.0,68.0,7.2,7.2,3.8,27.0,35.0,3.73,0.12,209.0,False,False,False,False,False,False,0,5,4
2019-05-01,2019,Mai,69.0,19.0,7.2,6.6,3.3,32.0,64.0,1.63,0.12,273.0,False,False,False,False,False,False,0,4,3
2019-06-01,2019,Jun,48.0,9.0,7.1,4.9,3.8,34.0,58.0,1.03,0.1,273.0,False,False,False,False,False,False,0,3,2
2019-07-01,2019,Jul,55.0,26.0,7.0,7.5,3.8,54.0,76.0,1.19,0.1,250.0,False,False,False,False,False,False,0,3,2
2019-08-01,2019,Ago,40.0,8.0,7.2,8.0,3.3,50.0,74.0,0.76,0.13,385.0,False,False,False,False,False,False,0,5,4
